['id', 'xcentroid', 'ycentroid', 'sharpness', 'roundness1', 'roundness2', 'npix', 'sky', 'peak', 'flux', 'mag']
[(  1, 8.97615342e+01, 2.02848237e-01, 0.80544573,  9.47803708e-02, -6.43196566e-01, 25, 0.,   453.,  1.50032076, -0.4404603 )
 (  2, 1.71491599e+01, 1.11824189e+00, 0.72201208,  8.58168160e-01, -2.71206558e-01, 25, 0.,   402.,  1.254633  , -0.24629176)
 (  3, 3.36216801e+01, 1.08795626e+01, 0.72461051,  2.14899834e-01, -1.73889527e-01, 25, 0.,  2026.,  6.16142618, -1.97420312)
 (  4, 5.83137050e+02, 1.53250807e+01, 0.80306126,  1.43990198e-01,  1.10838824e-01, 25, 0.,  1583.,  4.55589864, -1.64643513)
 (  5, 7.07037438e+02, 1.48515140e+01, 0.91367304,  1.87933882e-01,  1.47306805e-01, 25, 0.,   786.,  2.16847092, -0.840384  )
 (  6, 4.73930497e+02, 1.56657159e+01, 0.81804878,  7.49152770e-01,  3.77947989e-01, 25, 0.,   356.,  1.06171203, -0.06501684)
 (  7, 4.93814015e+02, 1.71058463e+01, 0.86357093,  1.26083816e-02,  3.55795574e-02, 25, 0.,  5965., 16.78230584, -3.06212908)
 (  8, 2.03810081e+02, 2.01450949e+01, 0.88001396,  9.34738873e-02,  4.25904014e-02, 25, 0.,  5627., 15.61410671, -2.98379286)
 (  9, 3.35076239e+02, 1.96446151e+01, 0.61843315,  2.48239702e-01,  5.81337052e-01, 25, 0.,  6530., 20.6869583 , -3.2892416 )
 ( 10, 1.90582310e+02, 2.05890875e+01, 0.73683078,  4.26496316e-01,  8.25808009e-02, 25, 0.,   910.,  2.59793818, -1.03657203)
 ( 11, 1.85404071e+01, 2.20021905e+01, 0.77676259,  2.61954349e-01, -2.49890256e-01, 25, 0.,   913.,  2.52394553, -1.00519995)
 ( 12, 2.35213743e+02, 2.60234886e+01, 0.77510992,  2.43266449e-01, -8.28254433e-03, 25, 0.,   337.,  1.35114492, -0.32675483)
 ( 13, 3.60659034e+02, 2.60143706e+01, 0.81727449,  1.47947075e-01,  1.13480364e-01, 25, 0.,   482.,  1.41363352, -0.37584209)
 ( 14, 4.72908860e+02, 2.60572374e+01, 0.96696627, -3.11689460e-01,  5.78231073e-02, 25, 0.,   995.,  2.50974945, -0.99907592)
 ( 15, 2.26092511e+01, 2.73817562e+01, 0.59638654, -1.26833901e-01,  2.67023783e-02, 25, 0.,  2034.,  6.54288088, -2.03942253)
 ( 16, 8.21574753e+01, 3.37106788e+01, 0.86840491,  8.42602495e-02,  1.23798880e-01, 25, 0.,   618.,  1.80353313, -0.64031031)
 ( 17, 2.26988810e+01, 3.72585651e+01, 0.64213334, -1.98624917e-01,  2.15891644e-01, 25, 0.,   336.,  1.03039536, -0.03250973)
 ( 18, 3.49975762e+02, 3.71322412e+01, 0.86642059, -4.00457734e-01,  3.53373070e-02, 25, 0.,   543.,  1.66597538, -0.55417145)
 ( 19, 3.59314606e+02, 3.79572042e+01, 0.7315865 ,  1.45037614e-02, -6.37802772e-01, 25, 0.,   345.,  1.19114258, -0.18990937)
 ( 20, 5.47718186e+02, 3.79858576e+01, 0.65500608,  2.22008836e-01,  1.08786974e-01, 25, 0.,   378.,  1.24572529, -0.2385557 )
 ( 21, 3.53976026e+02, 3.99897344e+01, 0.8646349 ,  9.99131859e-01,  3.89345136e-01, 25, 0.,   451.,  1.29485392, -0.28055194)
 ( 22, 4.90148495e+02, 3.99515571e+01, 0.99145724, -1.23320891e-01, -3.40735260e-01, 25, 0.,   695.,  1.84058772, -0.6623913 )
 ( 23, 7.36416459e+01, 4.21910046e+01, 0.5978554 , -5.44060069e-01, -4.55666103e-01, 25, 0.,   305.,  1.17969683, -0.17942603)
 ( 24, 3.49903865e+02, 4.33104432e+01, 0.79600589,  9.79739462e-02,  1.68395731e-01, 25, 0.,  1860.,  5.54671032, -1.86008871)
 ( 25, 5.13037005e+02, 4.52118521e+01, 0.93590561,  5.16778445e-02,  1.33445371e-01, 25, 0.,  3301.,  8.82398451, -2.36416184)
 ( 26, 7.50153861e+02, 4.46565670e+01, 0.60870567, -5.95525171e-01,  2.25317928e-01, 25, 0.,   340.,  1.22603804, -0.22125986)
