#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
1.000000e+00   1.706660e+02   1.590792e+01   1.717613e+01   -3.087314e+00   0.000000e+00   0.000000e+00   0.000000e+00
1.000000e+00   1.706956e+02   1.587764e+01   1.060322e+01   -2.563594e+00   1.064430e+02   -1.090191e+02   1.523656e+02
1.000000e+00   1.706866e+02   1.588421e+01   1.217563e+01   -2.713729e+00   7.399285e+01   -8.533676e+01   1.129482e+02
1.000000e+00   1.706860e+02   1.588580e+01   1.230818e+01   -2.725484e+00   7.204993e+01   -7.963408e+01   1.073908e+02
1.000000e+00   1.706843e+02   1.588738e+01   1.011320e+01   -2.512222e+00   6.575696e+01   -7.393446e+01   9.894585e+01
1.000000e+00   1.706834e+02   1.588889e+01   8.752449e+00   -2.355324e+00   6.268317e+01   -6.848658e+01   9.284176e+01
1.000000e+00   1.706832e+02   1.589053e+01   1.359737e+01   -2.833637e+00   6.169816e+01   -6.259602e+01   8.789155e+01
1.000000e+00   1.706809e+02   1.589225e+01   1.281763e+01   -2.769519e+00   5.344379e+01   -5.638920e+01   7.769157e+01
1.000000e+00   1.706792e+02   1.589246e+01   1.312921e+01   -2.795596e+00   4.752119e+01   -5.564372e+01   7.317436e+01
1.000000e+00   1.706767e+02   1.589447e+01   1.394118e+01   -2.860749e+00   3.830881e+01   -4.842868e+01   6.174870e+01
1.000000e+00   1.706748e+02   1.589624e+01   1.250955e+01   -2.743105e+00   3.156836e+01   -4.205902e+01   5.258823e+01
1.000000e+00   1.706732e+02   1.589841e+01   1.334378e+01   -2.813197e+00   2.574669e+01   -3.424125e+01   4.284105e+01
1.000000e+00   1.706713e+02   1.590148e+01   1.311361e+01   -2.794305e+00   1.903026e+01   -2.317719e+01   2.998888e+01
1.000000e+00   1.706698e+02   1.590562e+01   1.273274e+01   -2.762305e+00   1.361361e+01   -8.287812e+00   1.593794e+01
1.000000e+00   1.706680e+02   1.590682e+01   1.607373e+01   -3.015292e+00   6.948440e+00   -3.951889e+00   7.993638e+00
1.000000e+00   1.706643e+02   1.591197e+01   1.596499e+01   -3.007922e+00   -6.413716e+00   1.458396e+01   1.593197e+01
1.000000e+00   1.706632e+02   1.591730e+01   1.638123e+01   -3.035866e+00   -1.029656e+01   3.376459e+01   3.529967e+01
1.000000e+00   1.706615e+02   1.592263e+01   1.537763e+01   -2.967224e+00   -1.622682e+01   5.296070e+01   5.539084e+01
1.000000e+00   1.706598e+02   1.592630e+01   1.616672e+01   -3.021555e+00   -2.257306e+01   6.616158e+01   6.990635e+01
1.000000e+00   1.706583e+02   1.593115e+01   1.649974e+01   -3.043693e+00   -2.767330e+01   8.363333e+01   8.809282e+01
1.000000e+00   1.706568e+02   1.593566e+01   1.642428e+01   -3.038716e+00   -3.333695e+01   9.988111e+01   1.052976e+02
1.000000e+00   1.706553e+02   1.593978e+01   1.601788e+01   -3.011513e+00   -3.875612e+01   1.147138e+02   1.210838e+02
1.000000e+00   1.706535e+02   1.594472e+01   1.434274e+01   -2.891580e+00   -4.494775e+01   1.325008e+02   1.399170e+02
1.000000e+00   1.706521e+02   1.594894e+01   1.567439e+01   -2.987977e+00   -5.032264e+01   1.476761e+02   1.560147e+02
1.000000e+00   1.706502e+02   1.595328e+01   1.515768e+01   -2.951582e+00   -5.704712e+01   1.632928e+02   1.729708e+02
2.000000e+00   1.706487e+02   1.595840e+01   1.490043e+01   -2.932997e+00   -6.224851e+01   1.817416e+02   1.921065e+02
1.000000e+00   1.706473e+02   1.596550e+01   1.374113e+01   -2.845056e+00   -6.747789e+01   2.073065e+02   2.180120e+02
1.000000e+00   1.706455e+02   1.597315e+01   1.229473e+01   -2.724297e+00   -7.393507e+01   2.348381e+02   2.462018e+02
2.000000e+00   1.706442e+02   1.597864e+01   1.357593e+01   -2.831924e+00   -7.871903e+01   2.545906e+02   2.664828e+02
