#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
5.300000e+01   3.637283e+01   2.643225e+01   1.821463e+01   -3.151051e+00   -2.484198e-01   -8.508465e-01   8.863703e-01
6.000000e+01   3.637318e+01   2.643229e+01   1.923110e+01   -3.210010e+00   1.030710e+00   -7.148078e-01   1.254318e+00
5.400000e+01   3.637292e+01   2.643220e+01   1.647299e+01   -3.041931e+00   8.209972e-02   -1.029487e+00   1.032755e+00
5.900000e+01   3.637300e+01   2.643222e+01   1.800706e+01   -3.138607e+00   3.771217e-01   -9.673438e-01   1.038256e+00
6.800000e+01   3.637307e+01   2.643223e+01   1.766302e+01   -3.117663e+00   6.235099e-01   -9.300148e-01   1.119684e+00
6.200000e+01   3.637308e+01   2.643238e+01   1.717745e+01   -3.087397e+00   6.742560e-01   -3.979062e-01   7.829116e-01
5.600000e+01   3.637291e+01   2.643232e+01   1.699629e+01   -3.075885e+00   3.887835e-02   -5.937778e-01   5.950492e-01
6.300000e+01   3.637288e+01   2.643242e+01   1.779914e+01   -3.125997e+00   -4.966617e-02   -2.425464e-01   2.475792e-01
6.700000e+01   3.637297e+01   2.643237e+01   1.883569e+01   -3.187454e+00   2.582761e-01   -4.440786e-01   5.137240e-01
6.200000e+01   3.637290e+01   2.643249e+01   1.795284e+01   -3.135333e+00   0.000000e+00   0.000000e+00   0.000000e+00
