#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
4.200000e+01   3.657394e+02   2.630168e+02   3.712954e+01   2.688722e+01   1.632103e+00   -5.318687e-01   1.275822e-01   -4.042892e-01   4.239422e-01
4.400000e+01   3.656372e+02   2.634059e+02   3.712966e+01   2.688715e+01   1.322917e+00   -3.038313e-01   5.507090e-01   -6.388224e-01   8.434301e-01
4.100000e+01   3.654777e+02   2.640194e+02   3.712937e+01   2.688708e+01   1.393944e+00   -3.606132e-01   -5.088593e-01   -8.848864e-01   1.020765e+00
4.300000e+01   3.652805e+02   2.641838e+02   3.712948e+01   2.688683e+01   1.326070e+00   -3.064161e-01   -1.191497e-01   -1.783542e+00   1.787518e+00
4.400000e+01   3.652557e+02   2.644931e+02   3.712946e+01   2.688680e+01   1.293861e+00   -2.797189e-01   -1.830782e-01   -1.922349e+00   1.931047e+00
4.300000e+01   3.653293e+02   2.647344e+02   3.712947e+01   2.688720e+01   1.566139e+00   -4.870760e-01   -1.305098e-01   -4.854380e-01   5.026757e-01
4.200000e+01   3.652819e+02   2.648547e+02   3.712933e+01   2.688700e+01   1.504235e+00   -4.432890e-01   -6.376931e-01   -1.196791e+00   1.356083e+00
4.600000e+01   3.652705e+02   2.650263e+02   3.712959e+01   2.688704e+01   1.657301e+00   -5.485036e-01   2.924936e-01   -1.045969e+00   1.086096e+00
4.200000e+01   3.652561e+02   2.653048e+02   3.712959e+01   2.688708e+01   1.309936e+00   -2.931248e-01   2.951655e-01   -9.022792e-01   9.493315e-01
4.300000e+01   3.650683e+02   2.659458e+02   3.712951e+01   2.688733e+01   1.616734e+00   -5.215963e-01   0.000000e+00   0.000000e+00   0.000000e+00
