#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
4.500000e+01   6.020171e+02   4.570935e+02   1.563112e+02   2.640130e+01   5.376830e+00   -1.826316e+00   2.119597e-01   -7.963903e-02   2.264273e-01
4.300000e+01   6.027212e+02   4.569082e+02   1.563113e+02   2.640119e+01   5.761877e+00   -1.901410e+00   6.704564e-01   -4.839042e-01   8.268464e-01
4.000000e+01   6.031094e+02   4.569139e+02   1.563112e+02   2.640126e+01   4.191510e+00   -1.555926e+00   3.641815e-01   -2.221280e-01   4.265783e-01
3.400000e+01   6.024457e+02   4.571259e+02   1.563114e+02   2.640125e+01   4.704337e+00   -1.681246e+00   1.157308e+00   -2.537266e-01   1.184795e+00
4.400000e+01   6.034629e+02   4.572131e+02   1.563112e+02   2.640134e+01   5.589442e+00   -1.868421e+00   4.775762e-01   6.701771e-02   4.822555e-01
4.700000e+01   6.036579e+02   4.569293e+02   1.563112e+02   2.640124e+01   5.367168e+00   -1.824363e+00   2.137158e-01   -2.750505e-01   3.483206e-01
4.300000e+01   6.030803e+02   4.569391e+02   1.563112e+02   2.640131e+01   5.186574e+00   -1.787201e+00   3.253814e-01   -4.716113e-02   3.287815e-01
4.100000e+01   6.038003e+02   4.565806e+02   1.563112e+02   2.640130e+01   5.317752e+00   -1.814320e+00   2.516272e-01   -8.253026e-02   2.648160e-01
3.600000e+01   6.037891e+02   4.564266e+02   1.563113e+02   2.640127e+01   3.640060e+00   -1.402771e+00   6.024040e-01   -1.637767e-01   6.242703e-01
4.600000e+01   6.037522e+02   4.564624e+02   1.563112e+02   2.640135e+01   5.370618e+00   -1.825061e+00   4.028835e-01   9.662368e-02   4.143081e-01
4.300000e+01   6.040283e+02   4.564860e+02   1.563112e+02   2.640134e+01   5.397818e+00   -1.830546e+00   3.359570e-01   6.387053e-02   3.419745e-01
4.700000e+01   6.043963e+02   4.564308e+02   1.563113e+02   2.640122e+01   5.145865e+00   -1.778646e+00   6.717293e-01   -3.617623e-01   7.629497e-01
5.000000e+01   6.061579e+02   4.556353e+02   1.563111e+02   2.640132e+01   6.781578e+00   -2.078327e+00   0.000000e+00   0.000000e+00   0.000000e+00
